county_fips,ngo_count,food_ngo_count,matched_filer_count,total_revenue,total_assets,filer_coverage_rate,population,avg_food_desert_pct,avg_housing_burden,dac_tract_pct,avg_dac_score,poverty_rate,med_household_income,unemployment,ngo_per_10k,food_ngo_per_10k,revenue_per_capita,assets_per_capita,need_score,capacity_score,gap_score,food_capacity_score,food_gap_score,need_component_count,capacity_component_count
01123,320,6,7,634043.0,2602050.0,0.021875,40541.0,0.15631089514318838,30.15295873313436,0.3,18.87250335529464,15.1,48574.21132791363,0.0987183308494784,78.93243876569399,1.4799832268567623,15.639550085099035,64.18317259071064,-0.16601895109947248,-0.971080286223911,0.8050613351244384,-0.42233504200180844,0.256316090902336,3,3
01125,1866,14,55,13475190.0,27845364.0,0.02947481243301179,207305.0,0.6864860953667302,29.805379995658573,0.1702127659574468,16.841754429184054,19.2,56521.52381234883,0.0581403533469416,90.01230071633583,0.6753334458889076,65.00176069076964,134.32075444393527,0.6309500273138505,-0.39597180878387855,1.026921836097729,-1.057064994407366,1.6880150217212164,3,3
01127,534,3,21,40258238.0,119848643.0,0.03932584269662921,64110.0,0.13578224925908594,27.885361098112618,0.2222222222222222,18.446624051567618,17.5,46243.437767861215,0.0836617498029501,83.29433785680861,0.4679457182966776,627.9556699422867,1869.4219778505694,-0.20742511531760774,0.6220426231968212,-0.829467738514429,-1.2709099663667618,1.0634848510491541,3,3
01129,149,3,4,1131008.0,1863704.0,0.026845637583892617,16541.0,0.5837615621788284,20.989964331056164,0.6,20.19078834925337,18.7,43849.06874914434,0.0726034224954311,90.07919714648449,1.8136751103319024,68.37603530620882,112.67178526086694,-0.15323998991213075,-0.41986997159312,0.2666299816809893,-0.21805142724127846,0.06481143732914771,3,3
01131,132,1,0,,,0.0,10681.0,0.5741035483568955,27.5151296695066,0.5,19.98499338516993,32.7,32872.49258365875,0.1529977375565611,123.58393408856848,0.9362419249133976,,,1.1644448136625278,0.09349745177829832,1.0709473618842296,-0.8228491242713137,1.9872939379338415,3,1
01133,153,1,2,165156.0,457671.0,0.013071895424836602,23784.0,0.09531617894382778,25.69074587958291,0.0,18.12178992949041,16.6,37932.57124472752,0.0728880756328148,64.32896064581232,0.42045072317524385,6.943995963673058,19.242810292633703,-0.46595232266392256,-1.541711881595612,1.0757595589316893,-1.3241327723090988,0.8581804496451761,3,3
02013,12,1,0,,,0.0,3385.0,1.0,19.6,0.0,15.097493,,73399.7585418962,0.0387661525635681,35.450516986706056,2.954209748892171,,,-0.10487745394805392,-2.7142108886089,2.609333434660846,0.3326114985468883,-0.43748895249494224,2,1
02016,44,0,0,,,0.0,5698.0,0.17093717093717092,18.88034398034398,0.0,13.922748973674976,,92707.33979242589,0.020961145194274,77.22007722007721,0.0,,,-1.526936956012392,-0.9698317424302808,-0.5571052135821112,-1.8920863123713685,0.3651493563589765,2,1
02020,4250,23,132,73638884.0,76478379.0,0.031058823529411764,293531.0,0.9637551059342966,27.795250246140952,0.2909090909090909,14.665466299883144,,90017.25189091926,0.0568246261286232,144.78879573196699,0.7835628945494684,250.87259608014145,260.5461739986577,0.7327420520653068,0.4151257233775109,0.31761632868779593,-0.955763169471022,1.688505221536329,2,3
02050,117,1,1,990211.0,20178.0,0.008547008547008548,18134.0,1.0,19.156435425168194,0.0,14.79982675603838,,56762.1266309627,0.1844546048334422,64.51968677622146,0.5514503143266792,54.605216719973534,1.1127164442483732,-0.15339191625315107,-1.5504186742708022,1.3970267580176512,-1.1813799560124592,1.027988039759308,2,3
